date,decision
2024-01-02,Overweight
2024-01-03,Hold
2024-01-04,Hold
2024-01-05,Hold
2024-01-08,Hold
2024-01-09,Hold
2024-01-10,Underweight
2024-01-11,Hold
2024-01-12,Hold
2024-01-15,Hold
2024-01-16,Hold
2024-01-17,Overweight
2024-01-18,Overweight
2024-01-19,Hold
2024-01-22,Hold
2024-01-23,Hold
2024-01-24,Hold
2024-01-25,Hold
2024-01-26,Hold
2024-01-29,Hold
2024-01-30,Overweight
2024-01-31,Hold
2024-02-01,Hold
2024-02-02,Hold
2024-02-05,Hold
2024-02-06,Underweight
2024-02-07,Hold
2024-02-08,Hold
2024-02-09,Hold
2024-02-12,Hold
2024-02-13,Hold
2024-02-14,Overweight
2024-02-15,Hold
2024-02-16,Hold
2024-02-19,Hold
2024-02-20,Hold
2024-02-21,Hold
2024-02-22,Hold
2024-02-23,Hold
2024-02-26,Hold
2024-02-27,Underweight
2024-02-28,Hold
2024-02-29,Hold
2024-03-01,Hold
2024-03-04,Underweight
2024-03-05,Underweight
2024-03-06,Underweight
2024-03-07,Underweight
2024-03-08,Underweight
2024-03-11,Sell
2024-03-12,Underweight
2024-03-13,Hold
2024-03-14,Hold
2024-03-15,Hold
2024-03-18,Hold
2024-03-19,Underweight
2024-03-20,Hold
2024-03-21,Overweight
2024-03-22,Hold
2024-03-25,Underweight
2024-03-26,Hold
2024-03-27,Underweight
2024-03-28,Overweight
2024-03-29,Hold
